code,name
ADX,Australian Derivatives Exchange
NFF,Norwegian Fund Broker Association
CUQ,Consolidated UK Quotes
CEQ,Consolidated European Quotes
TR2,TURQUOISE LEVEL 2 DATA
JK$,Central Bank of Indonesia
GBE,Global Best
SPD,Sao Paulo Stock Exchange Delayed
BIX,Bahamas International Securities Exchange
MT1,MTS Portugal
NXT,Euronext
WMC,WM Co (Specialist Data)
CHX,Swiss Stock Exchange
IMD,eMID Marke (Money Mkt Exch Milan)
ITX,Italian Exchange
JIW,Jiway Ltd
NWX,NewEx
AU$,Australian Money Rates
JFX,Jakarta Futures Exchange
UIT,NASDAQ Unit Trust
VTX,Virt-X
EAX,Australian Energy Data
OFX,OFEX
ENR,ENRON
TH$,Thailand Money Rates
MY$,Malaysian Money Rates
LK$,Sri Lanka Money Rates
EBI,Eurobench Indicies
PH$,Philippines Money Rates
VN$,Vietnam Money Rates
CN$,China Money Rates
GPR,Global Property Research Indices
UEX,Uruguayan electronic Exchange
SFC,Sibiu Monetary - Financial & Commodities Exchange
EQ1,Equiduct Level 1 Data
#KS,Korea Non-Exchange FI Update
JAQ,JASDAQ
COL,Columbia Stock Exchange
KSB,Korea Exchange - Korean SE Bonds
NLX,LIFFE/NASDAQ Single Stock futures
SHF,Shanghai Futures Exchange
PLS,Palestine Securities Exchange
NY2,New York Stock Exchange OpenBook
TW$,Taiwan Money Rates
NBI,New York Board of Trade Indices
#SA,Saudi Arabian Non-Exchange FI update
BSX,Bermuda Stock Exchange
MDX,Bursa Malaysia Derivatives Data
NQE,NASDAQ Europe
AIM,Alternative Stock Exchange
NBT,New York Board of Trade
MTF,MTS France
MTC,MTS Belgium
SPN,SPECTRON
APE,Automated Power Exchange
POX,Polish Power Exchange
RED,RediBook
IBX,iBOXX Ltd
PNX,Powernext
BQT,Bequoted.com
#RO,Romanian Non-Exchange FI Update
ILT,The Island Trading
TXX,TLX Mercato Regolamentato
EMO,EnMO - Energy Futures
ONE,OneChicago Exchange
GS1,German Spot Market Level 1
GS2,German Spot Market Level 2
RSM,Regional German Market
IFE,Island Futures Exchange LLC
EXA,EXAA Energy Exchange Austria
AFE,AMEX Stock Futures
DSS,Dar es Salaam Stock Exchange
NL2,Nasdaq Liffe LLC Level 2
ADC,NASD Alternative Display Facility for NYSE/AMEX Issues
IMQ,US Intermarket Level 2
LCA,American Stock Exchange for Nasdaq Large Cap
LCB,Boston Stock Exchange for Nasdaq Large Cap
LCC,Cincinnati Stock Exchange for Nasdaq Large Cap
LCM,Chicago Stock Exchange for Nasdaq Large Cap
LCN,New York Stock Exchange for Nasdaq Large Cap
LCP,NYSE Arca FOR NASDAQ LARGE CAP
LCW,Chicago Board Options Exchange for Nasdaq Large Cap Equity
LCX,Philadelphia Stock Exchange for Nasdaq Large Cap
NAQ,Nasdaq Stock Exchange Consolidated Capital Market
NMQ,NASDAQ Stock Market Exchange Consolidated Large Cap
SCA,American Stock Exchange for Nasdaq Capital Market
SCB,Boston Stock Exchange for Nasdaq Capital Market
SCC,Cincinnati Stock Exchange for Nasdaq Capital Market
SCM,Chicago Stock Exchange for Nasdaq Capital Market
SCN,New York Stock Exchange for Nasdaq Capital Market
SCP,NYSE Arca FOR NASDAQ SMALL CAP
SCW,Chicago Board Options Exchange for Nasdaq Capital Market
SCX,Philadelphia Stock Exchange for Nasdaq Capital Market
LPR,Lipper Fund Indices
NSD,NASD Bond Trade Dissemmination Service (BTDS) (formerly NASD Trace Feed)
NDV,Nasdaq Depth View
NTV,Nasdaq Total View
NQS,NASD Alternative Quotation Systems
BOX,Boston Options Exchange
OPQ,Options Price Reporting Authority BBO
FBF,Swedish Mutual Fund Association
IBU,International Brunei Exchange
TEJ,Taiwan Economic Journal
HER,Heren Energy
SGE,Shanghai Gold Exchange
NQD,NASDAQ Deutschland
LPC,Lipper Canadian Mutual Funds
EQ2,Equiduct Level 2 Data
POD,NEX Montenegro Exchange
BNL,Banja Luka Exchange
BCS,Belarusian Currency and Stock Exchange
KEC,Korea Electronic Communications Network
NEX,TSX Venture Exchange (Inactive Board)
CVC,TSX Venture Exchange (Capital Pool Company)
CVT,TSX Venture Exchange (Inactive Issue)
CNQ,Canadian Trading and Quotation System Inc.
BRR,Barra
AFT,The Agricultural Futures Exchange of Thailand
CDG,CanDeal - Government Bonds
CBF,CBOE Futures Exchange LLC
EUS,US Futures Exchange
CPX,CanPX
UGS,Uganda Securities Exchange
MCI,Multi Commodity Exchange of India
POS,ITG posit
SEN,Sistema Electronica de Negociaici=n Colombia
RTE,RUSSIAN TRADING SYSTEMS - RTE
ISG,Istanbul Stock Exchange - Treasury
ITE,European Composite
DJW,Dow Jones Wilshire
XEF,Executable Fixed Income
NCX,National Commodity and Derivatives Exchange of India
#IN,India Non-Exchange FI update
PCQ,CONSOLIDATED ISSUE LISTED BY NYSE Arca
NSX,Newcastle Stock Exchange
ISX,Iraq Stock Exchange
TOJ,Asia Composite
DEU,German Composite
JSY,Johannesburg Stock Exchange Interest Rate
CCE,Chicago Climate Exchange
JEP,Japan Electric Power Exchange
EPD,Primary Dealers Market
LFX,Labuan International Financial Exchange
KRX,Korea Exchange
TDE,Turkish Derivatives Exchange Level 1
CBC,Central Bank of China Taiwan
HAS,Hanoi Securities Trading Center
KRB,Korea Interbank Offered Rate
LOP,London Metal Exchange - Plastic
RCU,Source is a Reuters FI Contributor
RCV,Source is a London Broker
FTY,FTSE Xinhua - China
PLU,Plus Markets Group PLC
DIX,Dubai International Financial Exchange
TYP,Tokyo Stock Exchange - DUB purpose only
TKS,Istanbul Stock Exchange Settlement and Custody Bank
RRC,Russian Composite exchange data
TFX,Thailand Futures Exchange Public Company Limited
DGX,Dubai Gold & Commodities Exchange
ISS,International Securities Exchange when trading NYSE Stock
LCI,International Securities Exchange when trading Nasdaq National Market Stocks
SCI,International Securities Exchange when trading Nasdaq Capital Market Stocks
TRF,The Trade Reporting Facility when trading NYSE Stocks
LCL,The Trade Reporting Facility when trading Nasdaq National Market Stocks
SCL,The Trade Reporting Facility when trading Nasdaq Capital Market Stocks
VIX,Nordic Viking Indices - OMX Exchanges
PTX,Pure Trading
NMC,National Multi Commodity Exchange of India Limited
NSM,Nasdaq Stock Exchange Global Select Market
GSX,PHLX when trading Nasdaq Global Select Market
NSQ,Consolidated Issue Listed on Nasdaq Global Select Market
GSN,NYSE when trading Nasdaq Global Select Market
GSA,AMEX when trading Nasdaq Global Select Market
GSB,Boston SE when trading Nasdaq Global Select Market
GSW,CBOE when trading Nasdaq Global Select Market
GSM,Chicago SE when trading Nasdaq Global Select Market
GSC,National SE when trading Nasdaq Global Select Market
GSI,ISE when trading Nasdaq Global Select Market
GSL,NASD TRF when trading Nasdaq Global Select Market
GSP,NYSE Arca when trading Nasdaq Global Select Market
GSD,NASD ADF when trading Nasdaq Global Select Market
CCI,The Clearing Corporation of India Limited
DDT,Delayed Data Timer
ETX,Euro TLX
SAC,South African Contributed Bonds
MKE,Macedonia Stock Exchange
MTT,MTS Israel
MTX,MTS Reference Pricing
SPX,SHANGHAI PETROLEUM EXCHANGE
CDC,CHINA GOVT SECURITIES DEPOSITORY TRUST
MXP,Market Data Express
MBS,Mortgage Backed Securities
MSA,Mortgage Backed Securities Analytics
CFX,China Financial Futures Exchange
CDS,Credit Default Swap
PSM,Professional Securities Market
EMF,Euro MTF
BCI,Bombay Commodity Exchange
NBO,National Board of Trade
TDS,Trade Data Service
XDS,Cross-market Data Service
RMX,Risk Management Exchange (RMX)
ISA,Istanbul Stock Exchange - Trsy A
QMH,SWX Quotematch
PQX,Pink Sheets LLC - OTCQX
ABM,Norwegian Alternative Bond Market
DMX,Dubai Mercantile Exchange
BLP,Belgium Power Exchange
JNX,SBI Japan Next
AXE,NEWCO ELECTRONICS COMMUNICATIONS NETWORK (ECN)
AUX,ASX/ECN Combined Equity RIC
NOX,NASDAQ Options Market LLC
PXE,Prague Energy Exchange
